"Id";"ExpertGroup";"EvaluatedScientificNameId";"EvaluatedScientificName";"EvaluatedScientificNameAuthor";"reproductionGenerationTime"
1284;"Karplanter";100983;"Anchusa azurea";"Mill.";5
2521;"Karplanter";101868;"Androsace elongata";"L.";1
2520;"Karplanter";103085;"Anemone apennina";"L.";10
2518;"Karplanter";103086;"Anemone blanda";"Schott & Kotschy";10
1785;"Karplanter";129584;"Anemone scabiosa";"H.Lév. & Vaniot";15
2516;"Karplanter";103089;"Anemone sylvestris";"L.";15
2515;"Karplanter";103091;"Anemonidium canadense";NA;15
5349;"Karplanter";217383;"Anredera cordifolia";"(Ten.) Steenis";20
2509;"Karplanter";100417;"Anthemis cotula";"L.";1
2507;"Karplanter";100418;"Anthemis ruthenica";"M.Bieb.";1
2505;"Karplanter";100270;"Anthriscus caucalis";"M.Bieb.";1
2504;"Karplanter";100271;"Anthriscus cerefolium";"(L.) Hoffm.";1
2502;"Karplanter";101892;"Anthyllis vulneraria carpatica";"(Pant.) Nyman";3
2501;"Karplanter";102486;"Antirrhinum majus";"L.";5
2511;"Karplanter";99899;"Apera spica-venti";"(L.) P.Beauv.";1
2525;"Karplanter";103256;"Aphanes arvensis";"L.";1
5351;"Karplanter";217385;"Aponogeton distachyos";"L. f.";10
2547;"Karplanter";103093;"Aquilegia vulgaris";"L.";10
2546;"Karplanter";101077;"Arabidopsis arenosa";"(L.) Lawalrée";1
2545;"Karplanter";101078;"Arabidopsis halleri";"(L.) O'Kane & Al-Shehbaz";5
2544;"Karplanter";101080;"Arabidopsis suecica";"(Fr.) Norrl. ex O.E.Schulz";1
2542;"Karplanter";101087;"Arabis caucasica";"Willd.";7
1557;"Karplanter";128837;"Aralia elata";"(Miq.) Seem.";15
2539;"Karplanter";100376;"Aralia racemosa";"L.";15
2417;"Karplanter";170593;"Araucaria araucana";"(Molina) K.Koch";50
2549;"Karplanter";100420;"Arctium lappa";"L.";2
2538;"Karplanter";100423;"Arctium tomentosum";"Mill.";2
2536;"Karplanter";103259;"Aremonia agrimonioides";NA;15
6163;"Karplanter";220001;"Aria graeca";"(Spach) M.Roem.";35
2531;"Karplanter";102888;"Aristolochia clematitis";"L.";20
2530;"Karplanter";102889;"Aristolochia macrophylla";"Lam.";20
2528;"Karplanter";101094;"Armoracia rusticana";"P.Gaertn., B.Mey. & Scherb.";15
5362;"Karplanter";154655;"Arnica chamissonis";"Less.";20
1283;"Karplanter";128703;"Arnica mollis";"Hook.";20
1522;"Karplanter";103261;"Aronia ×prunifolia";"(Marshall) Rehder";20
1523;"Karplanter";127913;"Aronia arbutifolia";"(L.) Pers.";20
1520;"Karplanter";127914;"Aronia melanocarpa";"(Michx.) Elliott";20
2527;"Karplanter";99908;"Arrhenatherum elatius bulbosum";"(Willd.) Schübler & G.Martens";10
2500;"Karplanter";100432;"Artemisia abrotanum";"L.";15
2571;"Karplanter";100441;"Artemisia pontica";"L.";15
1579;"Karplanter";128838;"Artemisia sieversiana";"Ehrh.";15
2570;"Karplanter";100442;"Artemisia stelleriana";NA;15
2569;"Karplanter";100443;"Artemisia vulgaris";"L.";15
5369;"Karplanter";217402;"Arum italicum";"Mill.";15
2564;"Karplanter";99313;"Arum maculatum";"L.";15
2574;"Karplanter";103263;"Aruncus dioicus";"(Walter) Fernald";10
5370;"Karplanter";217403;"Arundo donax";"L.";30
2561;"Karplanter";102891;"Asarum canadense";"L.";25
5371;"Karplanter";217404;"Asclepias syriaca";"L.";15
2560;"Karplanter";99432;"Asparagus officinalis";"L.";15
2556;"Karplanter";100445;"Aster alpinus";"L.";7
2555;"Karplanter";100446;"Aster amellus";"L.";7
2554;"Karplanter";103626;"Astilbe ×arendsii";"Arends";10
2553;"Karplanter";103627;"Astilbe japonica";"(C.Morren & Decne.) A.Gray";10
1904;"Karplanter";145510;"Astragalus cicer";"L.";5
2598;"Karplanter";100277;"Astrantia major";"L.";15
389;"Karplanter";101361;"Atriplex hortensis";"L.";1
2597;"Karplanter";103712;"Atropa belladonna";NA;15
2595;"Karplanter";101098;"Aurinia saxatilis";"(L.) Desv.";15
115;"Karplanter";99913;"Avena fatua";"L.";1
2881;"Karplanter";103946;"Azolla filiculoides";"Lam.";1
5389;"Karplanter";170126;"Baccharis halimifolia";"L.";20
2592;"Karplanter";102278;"Ballota nigra nigra";NA;5
2591;"Karplanter";100448;"Balsamita major";"Desf.";20
2590;"Karplanter";101100;"Barbarea intermedia";"Boreau";3
2587;"Karplanter";101103;"Barbarea vulgaris";"W.T.Aiton";3
5391;"Karplanter";217420;"Bassia hyssopifolia";"(Pall.) Kuntze";1
2652;"Karplanter";101379;"Bassia scoparia";"(L.) A.J.Scott";1
2624;"Karplanter";99924;"Beckmannia syzigachne";"(Steud.) Fernald";1
2121;"Karplanter";169993;"Berberis ×ottawensis";"C.K.Schneid. ex Rehder";20
2623;"Karplanter";102994;"Berberis aggregata";"C.K.Schneid.";20
5395;"Karplanter";155212;"Berberis candidula";"(C.K.Schneid.) C.K.Schneid.";20
1902;"Karplanter";155213;"Berberis darwinii";"Hook.";20
5396;"Karplanter";169994;"Berberis gagnepainii";"C.K.Schneid.";20
1901;"Karplanter";145514;"Berberis julianae";"C.K.Schneid.";20
5397;"Karplanter";217422;"Berberis koreana";"Palib.";20
2622;"Karplanter";102995;"Berberis thunbergii";"DC.";20
2612;"Karplanter";103629;"Bergenia cordifolia";"(Haw.) Sternb.";20
2611;"Karplanter";103630;"Bergenia crassifolia";"(L.) Fritsch";20
2610;"Karplanter";101107;"Berteroa incana";"(L.) DC.";5
2603;"Karplanter";129586;"Betonica macrantha";"K.Koch";10
2627;"Karplanter";129587;"Betonica officinalis";"L.";10
5407;"Karplanter";217429;"Bidens connata";"Muhl. ex Willd.";1
2649;"Karplanter";100455;"Bidens frondosa";"L.";1
2647;"Karplanter";100457;"Bidens radiata";"Thuill.";1
2643;"Karplanter";102900;"Bistorta affinis";"(D.Don) Greene";5
2641;"Karplanter";102901;"Bistorta officinalis";"Delarbre";15
2651;"Karplanter";100988;"Borago officinalis";"L.";1
2120;"Karplanter";101110;"Brassica elongata";"Ehrh.";3
2638;"Karplanter";101111;"Brassica elongata elongata";NA;3
2637;"Karplanter";101112;"Brassica elongata integrifolia";"(Boiss.) Breistr.";3
2629;"Karplanter";101114;"Brassica napus";NA;2
2634;"Karplanter";101117;"Brassica nigra";"(L.) K.Koch";1
2633;"Karplanter";101118;"Brassica oleracea";"L.";2
2632;"Karplanter";101121;"Brassica rapa oleifera";"(DC.) Metzg.";1
2631;"Karplanter";101122;"Brassica rapa rapa";NA;2
1519;"Karplanter";128707;"Brassica rapa rapifera";"Metzg.";2
2677;"Karplanter";99934;"Bromopsis erecta";"(Huds.) Fourr.";10
2674;"Karplanter";99935;"Bromopsis inermis";"(Leyss.) Holub";10
2673;"Karplanter";99936;"Bromopsis pubescens";"(Spreng.) Holub";10
2667;"Karplanter";99939;"Bromus arvensis";NA;1
2661;"Karplanter";99948;"Bromus secalinus";"L.";1
2659;"Karplanter";100990;"Brunnera macrophylla";"(Adams) I.M.Johnst.";10
2658;"Karplanter";101682;"Bryonia alba";"L.";15
2657;"Karplanter";101684;"Bryonia cretica dioica";"(Jacq.) Tutin";15
2678;"Karplanter";127920;"Buddleja davidii";"Franch.";15
2679;"Karplanter";101130;"Bunias orientalis";"L.";2
2701;"Karplanter";100283;"Bunium bulbocastanum";"L.";5
2699;"Karplanter";101335;"Buxus sempervirens";"L.";20
5419;"Karplanter";169125;"Cabomba caroliniana";"A.Gray";10
2689;"Karplanter";127921;"Calendula arvensis";"(Vaill.) L.";1
2688;"Karplanter";100461;"Calendula officinalis";"L.";1
2245;"Karplanter";170390;"Calocedrus decurrens";"(Torr.) Florin";50
1320;"Karplanter";128709;"Calystegia pulchra";"Brummitt & Heywood";15
5421;"Karplanter";217442;"Calystegia sepium americana";"(Sims) Brummitt";15
2686;"Karplanter";103689;"Calystegia sepium spectabilis";"Brummitt";15
5422;"Karplanter";217443;"Calystegia silvatica";"(Kit.) Griseb.";15
2684;"Karplanter";101139;"Camelina microcarpa";NA;2
5426;"Karplanter";217446;"Campanula alliariifolia";"Willd.";10
2681;"Karplanter";100928;"Campanula carpatica";"Jacq.";10
2653;"Karplanter";100932;"Campanula glomerata glomerata";NA;10
2754;"Karplanter";121481;"Campanula glomerata 'Superba'";NA;10
2728;"Karplanter";100933;"Campanula lactiflora";"M.Bieb.";10
2726;"Karplanter";100936;"Campanula latifolia macrantha";"(Fisch. ex Hornem.)";10
2725;"Karplanter";100937;"Campanula medium";"L.";2
2724;"Karplanter";100938;"Campanula patula";"L.";2
5429;"Karplanter";217449;"Campanula portenschlagiana";"Schult.";10
5430;"Karplanter";217450;"Campanula poscharskyana";"Degen";10
2723;"Karplanter";100940;"Campanula punctata";"Lam.";10
2720;"Karplanter";100942;"Campanula rapunculoides";"L.";10
2716;"Karplanter";103006;"Capnoides sempervirens";"(L.) Borkh.";1
2713;"Karplanter";101907;"Caragana arborescens";"Lam.";20
2712;"Karplanter";101908;"Caragana frutex";"(L.) K.Koch";20
2710;"Karplanter";101150;"Cardamine parviflora";"L.";1
2709;"Karplanter";100465;"Carduus acanthoides";"L.";2
2705;"Karplanter";143580;"Carduus nutans leiophyllus";"(Petrovic) Stoj. & Stef.";2
2707;"Karplanter";143581;"Carduus nutans nutans";NA;2
2163;"Karplanter";169998;"Carex muskingumensis";"Schwein.";25
2729;"Karplanter";99708;"Carex pendula";"Huds.";25
2741;"Karplanter";99710;"Carex praecox";"Schreb.";25
2730;"Karplanter";99729;"Carex strigosa";"Huds.";25
2749;"Karplanter";102146;"Carpinus betulus";"L.";40
2743;"Karplanter";102148;"Castanea sativa";"Mill.";50
2738;"Karplanter";128899;"Celastrus orbiculatus";"Thunb.";30
5449;"Karplanter";172531;"Celastrus scandens";"L.";30
5460;"Karplanter";169136;"Centaurea macrocephala";"Muss.Puschk. ex Willd.";15
2776;"Karplanter";143460;"Centaurea nemoralis";"Jord.";15
5461;"Karplanter";217476;"Centaurea nigrescens";"Willd.";15
2772;"Karplanter";100501;"Centaurea stoebe";NA;2
1898;"Karplanter";145520;"Centranthus ruber";"(L.) DC.";5
2768;"Karplanter";101730;"Cephalaria gigantea";"(Ledeb.) Bobrov";15
2767;"Karplanter";101473;"Cerastium glomeratum";NA;1
2765;"Karplanter";101479;"Cerastium tomentosum";"L.";10
