"Id";"ExpertGroup";"EvaluatedScientificNameId";"EvaluatedScientificName";"EvaluatedScientificNameAuthor";"reproductionGenerationTime"
3025;"Karplanter";100550;"Doronicum macrophyllum";"Fisch. ex Hornem.";15
3023;"Karplanter";100552;"Doronicum pardalianches";"L.";10
3033;"Karplanter";100553;"Doronicum plantagineum";"L.";10
3016;"Karplanter";101184;"Draba aizoides";"L.";15
3015;"Karplanter";101202;"Draba nemorosa";"L.";1
3012;"Karplanter";102284;"Dracocephalum parviflorum";"Nutt.";2
3021;"Karplanter";102287;"Dracocephalum thymiflorum";"L.";1
855;"Karplanter";129590;"Duchesnea indica";"(Jacks.) Focke";10
3058;"Karplanter";100002;"Echinochloa crus-galli";"(L.) P.Beauv.";1
3056;"Karplanter";101693;"Echinocystis lobata";"(Michx.) Torr. & A.Gray";15
3055;"Karplanter";100556;"Echinops bannaticus";"Rochel ex Schrad.";15
3054;"Karplanter";100557;"Echinops exaltatus";"Schrad.";15
3053;"Karplanter";100558;"Echinops sphaerocephalus";"L.";15
3052;"Karplanter";101001;"Echium plantagineum";"L.";1
3051;"Karplanter";101002;"Echium vulgare";"L.";2
5587;"Karplanter";169239;"Egeria densa";"Planch.";10
5590;"Karplanter";169240;"Eichhornia crassipes";"(Mart.) Solms";15
5591;"Karplanter";141626;"Elaeagnus angustifolia";"L.";25
3042;"Karplanter";103202;"Elaeagnus commutata";"Bernh. ex Rydb.";25
5594;"Karplanter";169242;"Elodea callitrichoides";"(Rich.) Casp.";10
489;"Karplanter";99333;"Elodea canadensis";"Michx.";10
1004;"Karplanter";99334;"Elodea nuttallii";"(Planch.) H.St.John";10
3083;"Karplanter";100020;"Elytrigia elongata";NA;15
3075;"Karplanter";102835;"Epilobium brunnescens";"(Cockayne) P.H.Raven & Engelhorn";1
3074;"Karplanter";102837;"Epilobium ciliatum ciliatum";NA;7
3084;"Karplanter";102838;"Epilobium ciliatum glandulosum";"(Lehm.) Hoch & P.H.Raven";7
3073;"Karplanter";102841;"Epilobium hirsutum";"L.";10
3071;"Karplanter";102843;"Epilobium komarovianum";"H.Lév.";1
1929;"Karplanter";102847;"Epilobium obscurum";"Schreb.";5
1928;"Karplanter";102849;"Epilobium parviflorum";"Schreb.";10
1937;"Karplanter";102850;"Epilobium roseum";"Schreb.";5
3070;"Karplanter";102851;"Epilobium tetragonum";"L.";5
25;"Karplanter";102998;"Epimedium alpinum";"L.";15
24;"Karplanter";103121;"Eranthis hyemalis";"(L.) Salisb.";10
5616;"Karplanter";217601;"Erica ciliaris";"L.";15
1924;"Karplanter";145543;"Erica herbacea";"L.";15
18;"Karplanter";100564;"Erigeron annuus";"(L.) Pers.";2
1567;"Karplanter";128847;"Erigeron speciosus";"(Lindl.) DC.";10
10;"Karplanter";101216;"Erucastrum gallicum";"(Willd.) O.E.Schulz";1
9;"Karplanter";100319;"Eryngium alpinum";"L.";10
7;"Karplanter";100321;"Eryngium giganteum";"M.Bieb.";15
6;"Karplanter";100323;"Eryngium planum";"L.";10
1919;"Karplanter";101218;"Erysimum altum";"(Ahti) Tzvelev";2
12;"Karplanter";127941;"Erythronium dens-canis";"L.";10
2231;"Karplanter";170020;"Erythronium grandiflorum";"Pursh";10
2161;"Karplanter";170050;"Erythronium sibiricum";"(Fosch. & C.A.Mey.) Krylov";10
38;"Karplanter";103044;"Eschscholzia californica";"Cham.";1
5628;"Karplanter";217608;"Euonymus alatus";"(Thunb.) Siebold";20
47;"Karplanter";101653;"Euonymus europaeus";"L.";20
1917;"Karplanter";143476;"Euonymus fortunei";"(Turcz.) Hand.-Mazz.";20
5629;"Karplanter";217609;"Euonymus japonicus";"Thunb.";20
45;"Karplanter";101654;"Euonymus latifolius";"(L.) Mill.";20
44;"Karplanter";101655;"Euonymus nanus";"M.Bieb.";20
1566;"Karplanter";128848;"Euonymus sachalinensis";NA;20
50;"Karplanter";102761;"Euphorbia amygdaloides";"L.";15
39;"Karplanter";102762;"Euphorbia chamaesyce";"L.";1
37;"Karplanter";102763;"Euphorbia cyparissias";"L.";10
36;"Karplanter";102764;"Euphorbia dulcis";"L.";10
35;"Karplanter";102765;"Euphorbia epithymoides";"L.";10
34;"Karplanter";102766;"Euphorbia esula";"L.";10
1915;"Karplanter";102767;"Euphorbia esula esula";NA;10
1989;"Karplanter";102768;"Euphorbia esula pseudovirgata";"Schur";10
1888;"Karplanter";102769;"Euphorbia esula tommasiniana";"(Bertol.) Kuzmanov";10
5635;"Karplanter";217615;"Euphorbia falcata";"L.";10
5636;"Karplanter";204861;"Euphorbia griffithii";"Hook. f.";10
32;"Karplanter";102772;"Euphorbia lathyris";"L.";2
31;"Karplanter";102775;"Euphorbia peplus";"L.";1
40;"Karplanter";170181;"Eutrochium purpureum";"(L.) E.E.Lamont";15
5647;"Karplanter";157053;"Falcaria vulgaris";"Bernh.";15
5648;"Karplanter";127945;"Fallopia aubertii";"(L.Henry) Holub";20
129;"Karplanter";102909;"Fallopia baldschuanica";NA;20
143;"Karplanter";145697;"Festuca amethystina";"L.";5
5651;"Karplanter";217626;"Festuca filiformis";"Pourr.";5
145;"Karplanter";100040;"Festuca gautieri";"(Hack.) K.Richt.";5
144;"Karplanter";100041;"Festuca heterophylla";"Lam.";15
142;"Karplanter";100049;"Festuca rubra commutata";"Gaudin";15
152;"Karplanter";100050;"Festuca rubra megastachya";"(Gaudin) Piper";15
1961;"Karplanter";100053;"Festuca trachyphylla";"(Hack.) R.P.Murray";15
133;"Karplanter";141629;"Filipendula camtschatica";"(Pall.) Maxim.";15
132;"Karplanter";103308;"Filipendula purpurea";"Maxim.";15
131;"Karplanter";103309;"Filipendula rubra";"(Hill) B.L.Rob.";15
178;"Karplanter";102407;"Forsythia ×intermedia";"Zabel";20
2543;"Karplanter";170621;"Fourraea alpina";"(L.) Greuter & Burdet";10
175;"Karplanter";103313;"Fragaria ×ananassa";"(Weston) Duchesne ex Rozier";15
174;"Karplanter";103314;"Fragaria chiloënsis";"(L.) Mill.";15
173;"Karplanter";103315;"Fragaria moschata";"Weston";15
5655;"Karplanter";217629;"Fragaria vesca semperflorens";"(Duchesne ex Rozier) Sm.";15
172;"Karplanter";103317;"Fragaria virginiana";"Mill.";15
5658;"Karplanter";217630;"Fraxinus pennsylvanica";"Marshall";50
2388;"Karplanter";157157;"Fritillaria camschatcensis";"(L.) Ker Gawl.";10
5659;"Karplanter";157159;"Fritillaria imperialis";"L.";15
170;"Karplanter";99575;"Fritillaria meleagris";"L.";10
5664;"Karplanter";217635;"Fuchsia magellanica";"Lam.";10
164;"Karplanter";99578;"Gagea minima";"(L.) Ker Gawl.";10
163;"Karplanter";99579;"Gagea pratensis";"(Pers.) Dumort.";10
161;"Karplanter";100581;"Gaillardia ×grandiflora";"hort. ex Van Houtte";5
192;"Karplanter";127946;"Galanthus elwesii";"Hook.f.";10
190;"Karplanter";99424;"Galanthus nivalis";"L.";10
2385;"Karplanter";170578;"Galanthus x valentinei";NA;10
1960;"Karplanter";145563;"Galatella sedifolia";"(L.) Greuter";15
188;"Karplanter";101927;"Galega ×hartlandii";"Clarke";10
187;"Karplanter";101928;"Galega officinalis";"L.";10
186;"Karplanter";101929;"Galega orientalis";"Lam.";10
220;"Karplanter";102294;"Galeopsis pubescens";"Besser";1
218;"Karplanter";100584;"Galinsoga parviflora";"Cav.";1
228;"Karplanter";100585;"Galinsoga quadriradiata";"Ruiz & Pav.";1
213;"Karplanter";102208;"Galium mollugo";"L.";10
212;"Karplanter";102214;"Galium pumilum";"Murray";10
207;"Karplanter";100587;"Gamochaeta purpurea";"(L.) Cabrera";1
5671;"Karplanter";217640;"Gaultheria mucronata";"(L. f.) Hook. & Arn.";20
242;"Karplanter";101932;"Genista tinctoria";"L.";20
253;"Karplanter";102247;"Geranium ×magnificum";"Hyl.";10
249;"Karplanter";102244;"Geranium endressii";"J.Gay";10
248;"Karplanter";102246;"Geranium macrorrhizum";"L.";15
247;"Karplanter";102249;"Geranium nodosum";"L.";10
246;"Karplanter";102250;"Geranium palustre";"L.";10
245;"Karplanter";102251;"Geranium phaeum";"L.";15
244;"Karplanter";102254;"Geranium pylzowianum";"Maxim.";15
254;"Karplanter";102255;"Geranium pyrenaicum";"Burm.f.";2
241;"Karplanter";102259;"Geranium sibiricum";"L.";10
239;"Karplanter";103320;"Geum aleppicum";"Jacq.";15
238;"Karplanter";103321;"Geum macrophyllum";"Willd.";15
5691;"Karplanter";165694;"Geum macrophyllum perincisum";"(Rydb.) Hultén";15
237;"Karplanter";103322;"Geum quellyon";"Sweet";10
1955;"Karplanter";143482;"Gladiolus imbricatus";"L.";15
277;"Karplanter";100059;"Glyceria grandis";"S.Watson";10
275;"Karplanter";100061;"Glyceria maxima";"(Hartm.) Holmb.";10
5702;"Karplanter";157382;"Glyceria striata";"(Lam.) Hitchc.";10
5706;"Karplanter";217664;"Grindelia squarrosa";"(Pursh) Dunal";15
5708;"Karplanter";217665;"Gunnera magellanica";"Lam.";20
5709;"Karplanter";217666;"Gunnera tinctoria";"(Molina) Mirb.";20
271;"Karplanter";101496;"Gypsophila elegans";"M.Bieb.";1
270;"Karplanter";101497;"Gypsophila muralis";"L.";1
269;"Karplanter";101498;"Gypsophila paniculata";"L.";5
2972;"Karplanter";129591;"Halerpestes cymbalaria";"(Pursh) Greene";15
262;"Karplanter";100381;"Hedera hibernica";"(G.Kirchn.) Carrière";30
261;"Karplanter";100601;"Helianthus ×laetiflorus";"Pers.";20
293;"Karplanter";100604;"Helianthus tuberosus";"L.";20
303;"Karplanter";99438;"Hemerocallis fulva";"(L.) L.";20
302;"Karplanter";99439;"Hemerocallis lilioasphodelus";"L.";20
5732;"Karplanter";217687;"Heracleum ’Kungsholm’";NA;15
300;"Karplanter";100327;"Heracleum mantegazzianum";"Sommier & Levier";15
299;"Karplanter";100328;"Heracleum persicum";"Desf. ex Fisch.";15
5733;"Karplanter";217688;"Heracleum platytaenium";"Boiss.";15
2219;"Karplanter";157753;"Heracleum pubescens";"auct. non (Hoffm.)";15
2411;"Karplanter";169119;"Heracleum sosnowskyi";"Manden.";15
1558;"Karplanter";101502;"Herniaria glabra";"L.";3
295;"Karplanter";101231;"Hesperis matronalis";"L.";10
292;"Karplanter";103636;"Heuchera sanguinea";"Engelm.";15
291;"Karplanter";102725;"Hibiscus trionum";"L.";1
1962;"Karplanter";100675;"Hieracium sabaudum agg.";NA;15
5739;"Karplanter";217694;"Hippocrepis emerus emeroides";"(Boiss. & Spruner) Greuter & Burdet ex Lassen";15
2640;"Karplanter";143659;"Hirschfeldia incana";"Lagr.-Foss.";1
290;"Karplanter";103326;"Holodiscus discolor";"(Pursh) Maxim.";15
285;"Karplanter";100076;"Hordeum jubatum";"L.";3
1951;"Karplanter";99399;"Hosta lancifolia";NA;15
2205;"Karplanter";99400;"Hosta sieboldiana";NA;15
331;"Karplanter";99401;"Hosta ventricosa";"Stearn";15
1553;"Karplanter";128738;"Hottonia palustris";"L.";15
5742;"Karplanter";145564;"Humulus scandens";"(Lour.) Merr.";30
326;"Karplanter";99442;"Hyacinthoides hispanica";"(Mill.) Rothm.";20
325;"Karplanter";99443;"Hyacinthoides italica";"(L.) Rothm.";20
324;"Karplanter";99444;"Hyacinthoides non-scripta";"(L.) Chouard ex Rothm.";20
2232;"Karplanter";170206;"Hyacinthoides x massartiana";NA;20
1947;"Karplanter";145566;"Hyacinthus orientalis";"L.";15
1945;"Karplanter";145568;"Hydrangea arborescens";"L.";25
322;"Karplanter";127952;"Hydrangea petiolaris";NA;25
5747;"Karplanter";169243;"Hydrilla verticillata";"(L. f.) Royle";15
5750;"Karplanter";169120;"Hydrocotyle ranunculoides";"L. f.";10
320;"Karplanter";103581;"Hylotelephium anacampseros";"(L.) H.Ohba";15
5752;"Karplanter";217702;"Hylotelephium cauticola";"(Praeger) H.Ohba";15
330;"Karplanter";103582;"Hylotelephium ewersii";"(Ledeb.) H.Ohba";15
5753;"Karplanter";217967;"Hylotelephium pluricaule";"(Maxim.) H.Ohba";15
319;"Karplanter";127953;"Hylotelephium ruprechtii";"(Jalas) Tzvelev";15
5754;"Karplanter";217969;"Hylotelephium sieboldii";"(Regel) H.Ohba";15
316;"Karplanter";103584;"Hylotelephium spectabile";"(Boreau) H.Ohba";15
315;"Karplanter";103585;"Hylotelephium telephium";"(L.) H.Ohba";15
310;"Karplanter";100707;"Hypochaeris glabra";"L.";1
309;"Karplanter";101239;"Iberis amara";"L.";1
308;"Karplanter";101241;"Iberis sempervirens";"L.";5
318;"Karplanter";101242;"Iberis umbellata";"L.";1
1759;"Karplanter";129585;"Ilex ×meserveae";NA;30
5763;"Karplanter";217711;"Impatiens balfourii";"Hook. f.";1
5764;"Karplanter";157853;"Impatiens capensis";"Meerb.";1
355;"Karplanter";101761;"Impatiens glandulifera";"Royle";1
354;"Karplanter";101763;"Impatiens parviflora";"DC.";1
353;"Karplanter";100711;"Inula britannica";"L.";15
350;"Karplanter";100714;"Inula helenium";"L.";20
343;"Karplanter";99474;"Iris ×germanica";"L.";15
1943;"Karplanter";143490;"Iris aphylla";"L.";15
1942;"Karplanter";143491;"Iris delavayi";"Micheli";15
1941;"Karplanter";145570;"Iris latifolia";"(Mill.) Voss";15
1940;"Karplanter";145571;"Iris reticulata";"M.Bieb.";15
1950;"Karplanter";145572;"Iris sanguinea";"Donn ex Hornem.";15
340;"Karplanter";99477;"Iris sibirica";"L.";15
1964;"Karplanter";145573;"Iris variegata";"L.";15
883;"Karplanter";145701;"Jacobaea alpina";"(L.) Moench";15
1172;"Karplanter";145703;"Jacobaea erucifolia";"(L.) P.Gaertn., B.Mey. & Scherb.";5
1158;"Karplanter";145705;"Jacobaea subalpina";"(W.D.J.Koch) Pelser & Veldkamp";15
2313;"Karplanter";170403;"Juglans cinerea";"L.";50
5784;"Karplanter";172566;"Juglans nigra";"L.";50
336;"Karplanter";102161;"Juglans regia";"L.";50
1965;"Karplanter";99822;"Juncus compressus";"Jacq.";15
335;"Karplanter";99825;"Juncus ensifolius";"Wikstr.";15
307;"Karplanter";99836;"Juncus tenuis";"Willd.";15
408;"Karplanter";103784;"Juniperus chinensis";"L.";20
380;"Karplanter";128909;"Kalmia angustifolia";"L.";20
374;"Karplanter";101709;"Kolkwitzia amabilis";"Graebn.";20
373;"Karplanter";101940;"Laburnum ×watereri";"(Wettst.) Dippel";30
372;"Karplanter";101938;"Laburnum alpinum";"(Mill.) J.Presl";30
371;"Karplanter";101939;"Laburnum anagyroides";"Medik.";40
370;"Karplanter";100720;"Lactuca serriola";"L.";1
5801;"Karplanter";169245;"Lagarosiphon major";"(Ridl.) Moss";1
365;"Karplanter";102304;"Lamiastrum galeobdolon argentatum";"(Smejkal) Stace";15
364;"Karplanter";102305;"Lamiastrum galeobdolon galeobdolon";NA;15
363;"Karplanter";102311;"Lamium amplexicaule orientale";NA;1
362;"Karplanter";102314;"Lamium maculatum";"(L.) L.";15
361;"Karplanter";103031;"Lamprocapnos spectabilis";"(L.) Fukuhara";20
5803;"Karplanter";217741;"Lapsana communis intermedia";"(M.Bieb.) Hayek";3
745;"Karplanter";103804;"Larix ×marschlinsii";"Coaz";50
2620;"Karplanter";103802;"Larix decidua";"Mill.";50
744;"Karplanter";103803;"Larix kaempferi";"(Lamb.) Carrière";50
2619;"Karplanter";103805;"Larix sibirica";"Ledeb.";50
405;"Karplanter";101951;"Lathyrus latifolius";"L.";15
400;"Karplanter";101963;"Lathyrus tuberosus";"L.";15
398;"Karplanter";102317;"Lavandula angustifolia";"Mill.";10
1984;"Karplanter";99317;"Lemna gibba";"L.";1
1983;"Karplanter";99318;"Lemna japonica";"Landolt";1
5808;"Karplanter";204863;"Lemna minuta";"Kunth";1
1982;"Karplanter";99321;"Lemna turionifera";"Landolt";1
391;"Karplanter";100725;"Leontodon saxatilis";"Lam.";1
2390;"Karplanter";170164;"Leontopodium nivale alpinum";"(Cass.) Greuter";15
1981;"Karplanter";102319;"Leonurus cardiaca";"L.";10
390;"Karplanter";143497;"Leonurus quinquelobatus";"Gilib.";10
387;"Karplanter";101247;"Lepidium campestre";"(L.) R.Br.";2
2891;"Karplanter";145707;"Lepidium coronopus";"(L.) Al-Shehbaz";2
385;"Karplanter";101249;"Lepidium densiflorum";"Schrad.";1
2892;"Karplanter";145708;"Lepidium didymum";"L.";2
358;"Karplanter";101250;"Lepidium draba";"L.";15
459;"Karplanter";101251;"Lepidium heterophyllum";"Benth.";10
433;"Karplanter";101252;"Lepidium latifolium";"L.";15
431;"Karplanter";101253;"Lepidium neglectum";"Thell.";1
427;"Karplanter";101256;"Lepidium ruderale";"L.";1
425;"Karplanter";101258;"Lepidium virginicum";"L.";1
541;"Karplanter";100727;"Lepidotheca suaveolens";"(Pursh) Nutt.";1
5809;"Karplanter";217746;"Lespedeza cuneata";"(Dum.Cours.) G.Don";15
434;"Karplanter";100730;"Leucanthemum ×superbum";"(Bergmans ex J.W.Ingram) D.H.Kent";10
1980;"Karplanter";100729;"Leucanthemum maximum";"(Ramond) DC.";10
2355;"Karplanter";145576;"Leucojum aestivum";"L.";15
446;"Karplanter";99426;"Leucojum vernum";"L.";15
5810;"Karplanter";217347;"Leuzea repens";"(L.) D.J.N.Hind";20
435;"Karplanter";100337;"Levisticum officinale";"W.D.J.Koch";20
456;"Karplanter";100735;"Ligularia dentata";"(A.Gray) Hara";20
455;"Karplanter";100736;"Ligularia przewalskii";"(Maxim.) Diels";20
1605;"Karplanter";128742;"Ligularia sibirica";"(L.) Cass.";20
454;"Karplanter";100737;"Ligularia stenocephala";"(Maxim.) Matsum. & Koidz.";20
2331;"Karplanter";170492;"Ligustrum lucidum";"W.T.Aiton";30
453;"Karplanter";102411;"Ligustrum ovalifolium";"Hassk.";30
5817;"Karplanter";217753;"Ligustrum sinense";"Lour.";30
452;"Karplanter";99583;"Lilium ×hollandicum";"Bergmans";15
451;"Karplanter";99582;"Lilium bulbiferum";"L.";15
1349;"Karplanter";128743;"Lilium candidum";"L.";15
450;"Karplanter";99584;"Lilium lancifolium";"Thunb.";15
449;"Karplanter";99585;"Lilium martagon";"L.";20
1347;"Karplanter";128745;"Linaria pinifolia";"(Poir.) Munz";3
409;"Karplanter";102518;"Linaria purpurea";"(L.) Mill.";5
510;"Karplanter";102519;"Linaria repens";"(L.) Mill.";5
5823;"Karplanter";217760;"Lindernia dubia";"(L.) Pennell";1
5824;"Karplanter";102783;"Linum austriacum";"L.";10
1591;"Karplanter";102787;"Linum perenne";"L.";10
2809;"Karplanter";145712;"Lipandra polysperma";"(L.) S.Fuentes, Uotila & Borsch";1
477;"Karplanter";101260;"Lobularia maritima";"(L.) Desv.";10
475;"Karplanter";100090;"Lolium multiflorum";"Lam.";2
474;"Karplanter";100091;"Lolium perenne";"L.";5
473;"Karplanter";100092;"Lolium remotum";"Schrank";1
472;"Karplanter";100094;"Lolium temulentum";"L.";1
1988;"Karplanter";127959;"Lonicera acuminata";NA;20
469;"Karplanter";101711;"Lonicera alpigena";"L.";20
2526;"Karplanter";101712;"Lonicera caerulea";"L.";20
468;"Karplanter";101713;"Lonicera caprifolium";"L.";20
1975;"Karplanter";169090;"Lonicera fragrantissima";"Lindl. & J.Paxton";20
467;"Karplanter";101714;"Lonicera involucrata";"(Richardson) Banks ex Spreng.";20
466;"Karplanter";127960;"Lonicera japonica";"Thunb.";20
465;"Karplanter";101715;"Lonicera korolkowii";"Stapf";20
464;"Karplanter";127961;"Lonicera ligustrina";"Wall.";20
2157;"Karplanter";170014;"Lonicera ligustrina pileata";"(Oliv.) Franch.";20
2158;"Karplanter";127962;"Lonicera ligustrina yunnanensis";NA;20
5834;"Karplanter";217767;"Lonicera maackii";"(Rupr.) Maxim.";20
1757;"Karplanter";128747;"Lonicera morrowii";"A.Gray";20
463;"Karplanter";101716;"Lonicera nigra";"L.";20
462;"Karplanter";127963;"Lonicera sempervirens";"L.";20
461;"Karplanter";101718;"Lonicera tatarica";"L.";20
486;"Karplanter";101973;"Lotus glaber";"Mill.";5
508;"Karplanter";101974;"Lotus pedunculatus";"Cav.";5
1646;"Karplanter";143500;"Lotus sativus";"(Hyl.) Büscher & G.H.Loos";3
507;"Karplanter";101975;"Lotus subbiflorus";"Lag.";1
5836;"Karplanter";170128;"Ludwigia grandiflora";"(Michx.) Greuter & Burdet";3
5837;"Karplanter";170129;"Ludwigia peploides";"(Kunth) P.H.Raven";3
506;"Karplanter";101262;"Lunaria annua";"L.";1
504;"Karplanter";101983;"Lupinus ×regalis";"Bergmans";5
502;"Karplanter";101978;"Lupinus arboreus";"Sims";5
500;"Karplanter";101979;"Lupinus luteus";"L.";1
499;"Karplanter";101980;"Lupinus nootkatensis";"Donn ex Sims";10
509;"Karplanter";101981;"Lupinus perennis";"L.";10
458;"Karplanter";101982;"Lupinus polyphyllus";"Lindl.";10
498;"Karplanter";99846;"Luzula forsteri";"(Sm.) DC.";15
496;"Karplanter";99847;"Luzula luzuloides";"(Lam.) Dandy & Wilmott";15
495;"Karplanter";99852;"Luzula nivea";"(L.) DC.";15
561;"Karplanter";101512;"Lychnis chalcedonica";"L.";10
535;"Karplanter";101513;"Lychnis coronaria";"(L.) Desr.";10
533;"Karplanter";103723;"Lycium barbarum";"L.";20
532;"Karplanter";103724;"Lycium chinense";"Mill.";20
530;"Karplanter";99323;"Lysichiton americanus";"Hultén & H.St.John";20
1705;"Karplanter";120044;"Lysichiton camtschatcensis";"(L.) Schott";20
529;"Karplanter";101841;"Lysimachia ciliata";"L.";20
528;"Karplanter";101843;"Lysimachia nummularia";"L.";20
527;"Karplanter";101844;"Lysimachia punctata";"L.";20
524;"Karplanter";102819;"Lythrum virgatum";"L.";20
5843;"Karplanter";169957;"Macleaya cordata";"(Willd.) R.Br.";20
523;"Karplanter";103003;"Mahonia aquifolium";"(Pursh) Nutt.";30
521;"Karplanter";99555;"Maianthemum racemosum";"(L.) Link";20
520;"Karplanter";99556;"Maianthemum stellatum";"(L.) Link";20
493;"Karplanter";103329;"Malus ×domestica";NA;35
2391;"Karplanter";170478;"Malus ×purpurea";"(E.Barbier) Rehder";35
1607;"Karplanter";128851;"Malus asiatica";"Nakai";35
494;"Karplanter";103328;"Malus baccata";"(L.) Borkh.";35
2201;"Karplanter";170032;"Malus dasyphylla";"Borkh.";35
492;"Karplanter";103330;"Malus floribunda";"Siebold ex Van Houtte";35
2200;"Karplanter";143506;"Malus prunifolia";"(Willd.) Borkh.";35
488;"Karplanter";103332;"Malus sargentii";"Rehder";35
487;"Karplanter";127965;"Malus sieboldii";"(Regel) Rehder";35
1970;"Karplanter";143507;"Malus toringo";"(Siebold) Siebold ex de Vriese";35
515;"Karplanter";102732;"Malva alcea";"L.";5
513;"Karplanter";102734;"Malva moschata";"L.";5
1969;"Karplanter";102737;"Malva pusilla";"Sm.";1
1968;"Karplanter";102740;"Malva sylvestris sylvestris";NA;2
548;"Karplanter";102741;"Malva verticillata";"L.";1
557;"Karplanter";100747;"Matricaria chamomilla";"L.";1
1341;"Karplanter";128754;"Mauranthemum paludosum";"(Poir.) Vogt & Oberpr.";1
550;"Karplanter";143508;"Medicago ×varia";"Martyn";5
560;"Karplanter";143509;"Medicago falcata";"L.";5
547;"Karplanter";101989;"Medicago sativa";"L.";3
543;"Karplanter";102438;"Melampyrum nemorosum";"L.";1
542;"Karplanter";100096;"Melica altissima";"L.";15
540;"Karplanter";100097;"Melica ciliata";"L.";15
539;"Karplanter";101997;"Melilotus albus";"Medik.";1
538;"Karplanter";101998;"Melilotus altissimus";"Thuill.";2
584;"Karplanter";102002;"Melilotus officinalis";"(L.) Lam.";1
578;"Karplanter";158423;"Mentha ×gentilis";"L.";10
577;"Karplanter";102334;"Mentha ×piperita";"L.";10
576;"Karplanter";102336;"Mentha ×rotundifolia";"(L.) Huds.";10
575;"Karplanter";102337;"Mentha ×smithiana";"R.A.Graham";10
1626;"Karplanter";128852;"Mentha ×villosa";"Huds.";10
2393;"Karplanter";170507;"Mentha ×villosonervata";NA;10
574;"Karplanter";102333;"Mentha longifolia";"(L.) L.";10
571;"Karplanter";102338;"Mentha spicata";"L.";10
570;"Karplanter";102339;"Mentha suaveolens";"Ehrh.";10
568;"Karplanter";102777;"Mercurialis annua";"L.";1
5870;"Karplanter";217798;"Microbiota decussata";"Kom.";30
564;"Karplanter";102481;"Mimulus guttatus";NA;3
563;"Karplanter";102482;"Mimulus luteus";NA;3
5876;"Karplanter";217806;"Miscanthus sacchariflorus";"(Maxim.) Benth. & Hook. f. ex Franch.";20
5877;"Karplanter";217807;"Miscanthus sinensis";"Andersson";20
605;"Karplanter";100750;"Mulgedium tataricum";"(L.) DC.";20
604;"Karplanter";99446;"Muscari armeniacum";"Leichtlin ex Baker";10
603;"Karplanter";99447;"Muscari botryoides";"(L.) Mill.";10
1966;"Karplanter";152311;"Muscari latifolium";"J.Kirk";10
611;"Karplanter";101020;"Myosotis alpestris";"F.W.Schmidt";10
600;"Karplanter";101031;"Myosotis sparsiflora";"J.G.Mikan ex Pohl";2
598;"Karplanter";101033;"Myosotis sylvatica";"Hoffm.";10
5887;"Karplanter";169123;"Myriophyllum aquaticum";"(Vell.) Verdc.";7
5888;"Karplanter";169247;"Myriophyllum heterophyllum";"Michx.";7
597;"Karplanter";100343;"Myrrhis odorata";"(L.) Scop.";15
596;"Karplanter";99428;"Narcissus poëticus";"L.";15
595;"Karplanter";99429;"Narcissus pseudonarcissus";"L.";15
2206;"Karplanter";214805;"Narcissus pseudonarcissus major";"(Curtis) Baker";15
2150;"Karplanter";170594;"Narcissus x cyclazetta";"Chater & Stace";15
2040;"Karplanter";145591;"Narcissus x incomparabilis";NA;15
5898;"Karplanter";217819;"Nassella neesiana";"(Trin. & Rupr.) Barkworth";15
5899;"Karplanter";217820;"Nassella trichotoma";"(Nees) Hack. & Arechav.";15
594;"Karplanter";101274;"Nasturtium officinale";"R.Br.";1
1406;"Karplanter";102342;"Nepeta cataria";"L.";5
663;"Karplanter";102346;"Nepeta racemosa";"Lam.";5
3011;"Karplanter";170595;"Nepeta sibirica";"L.";10
635;"Karplanter";103729;"Nicandra physalodes";"(L.) Gaertn.";1
629;"Karplanter";101278;"Noccaea caerulescens";NA;10
627;"Karplanter";101037;"Nonea versicolor";"(Steven) Sweet";1
2320;"Karplanter";170397;"Nothofagus antarctica";"(G.Forst.) Oerst.";35
626;"Karplanter";100971;"Nymphoides peltata";"(S.S.Gmel.) Kuntze";10
1612;"Karplanter";145717;"Odontites vernus";"(Bellardi) Dumort.";1
650;"Karplanter";143513;"Odontites vulgaris";"Moench";1
2059;"Karplanter";102853;"Oenothera ammophila";"Focke";2
661;"Karplanter";102854;"Oenothera biennis";"L.";2
659;"Karplanter";102856;"Oenothera canovirens";"Steele";2
658;"Karplanter";102857;"Oenothera casimiri";"Rostánski";2
657;"Karplanter";102858;"Oenothera depressa";"Greene";2
656;"Karplanter";102859;"Oenothera fallax";"Renner";2
655;"Karplanter";102860;"Oenothera glazioviana";"Micheli";2
5909;"Karplanter";217827;"Oenothera macrocarpa";"Nutt.";2
649;"Karplanter";128907;"Oenothera muricata";"L.";2
662;"Karplanter";102865;"Oenothera perangusta";"R.R.Gates";2
642;"Karplanter";101040;"Omphalodes verna";"Moench";10
613;"Karplanter";102011;"Ononis spinosa spinosa";NA;10
1337;"Karplanter";143665;"Origanum vulgare prismaticum";"Gaudin";5
5919;"Karplanter";158793;"Ornithogalum divergens";"Boreau";10
685;"Karplanter";99451;"Ornithogalum nutans";"L.";10
688;"Karplanter";143514;"Ornithogalum umbellatum";"L.";10
684;"Karplanter";102013;"Ornithopus compressus";"L.";1
681;"Karplanter";102016;"Ornithopus sativus";"Brot.";1
678;"Karplanter";127978;"Orobanche elatior";"Sutton";15
687;"Karplanter";102449;"Orobanche hederae";"Duby";15
