ScientificNameId	ScientificName	ScientificNameAuthor
216291	Pulvinaria regalis	Canard, 1968
135252	Saissetia coffeae	(Walker, 1852)
216307	Saissetia oleae	(Olivier, 1791)
216380	Toumeyella parvicornis	(Cockerell, 1897)
135254	Aspidiotus nerii	(Bouche, 1833)
216083	Chionaspis pinifoliae	Fitch, 1856
135257	Chrysomphalus aonidum	(Linnaeus, 1758)
135282	Pinnaspis aspidistrae	(Signoret, 1869)
135280	Pseudaulacaspis pentagona	(Targioni Tozzetti, 1886)
216401	Unaspis euonymi	(Comstock, 1881)
216230	Metcalfa pruinosa	(Say, 1830)
216176	Icerya purchasi	Maskell, 1878
216207	Marchalina hellenica	(Gennadius, 1883)
216325	Stictocephala bisonia	Kopp & Yonke, 1977
216198	Lygus hesperus	(Knight, 1917)
216199	Lygus lineolaris	(Palisot de Beauvois, 1818)
216178	Insignorthezia insignis	(Browne, 1887)
216277	Podisus maculiventris	(Say, 1832)
216295	Rhaphigaster nebulosa	(Poda, 1761)
216107	Daktulosphaira vitifoliae	Fitch 1855
135176	Planococcus citri	(Risso, 1813)
216286	Pseudococcus longispinus	(Targioni Tozzetti, 1867)
135195	Pseudococcus viburni	(Signoret, 1875)
135181	Rhizoecus cacticans	(Hambleton, 1946)
216320	Spartina patens	(Aiton) Muhl
110430	Peritrechus nubilus	(Fallén, 1807)
216095	Corythucha arcuata	(Say, 1832)
143626	Aphelinus mali	(Haldeman, 1851)
146541	Aphytis mytilaspidis	(Le Baron, 1870)
136099	Aproceros leucopoda	Takeuchi, 1939
216055	Aphidius gifuensis	Ashmead, xxxx
216116	Dryocosmus kuriphilus	Yasumatsu, 1951
216262	Pheidole megacephala	(Fabricius, 1793)
216331	Tapinoma nigerrimum	Nylander, 1856
136066	Sirex ermak	(Semenov, 1921)
216180	Isodontia mexicana	(Saussure, 1867)
216313	Sceliphron caementarium	(Drury, 1773)
216314	Sceliphron curvatum	(Smith, 1870)
112176	Nematus tibialis	Newman, 1837
216211	Megastigmus wachtli	Seitner, 1916
169117	Vespa velutina	
216062	Argyresthia thuiella	(Packard, 1871)
216092	Coccidiphila gerasimovi	Danilevsky, 1950
216102	Cydalima perspectalis	(Walker, 1859)
216167	Herpetogramma licarsisalis	(Walker, 1859)
216132	Ethmia terminella	T.B. Fletcher, 1938
216172	Hyphantria cunea	(Drury, 1773)
137324	Lymantria dispar	
216200	Lymantria mathura	Moore, 1866
216245	Orgyia leucostigma	(J.E. Smith, 1797)
216246	Orgyia pseudotsugata	(McDunnough, 1921)
216094	Coleotechnites piceaella	(Kearfott, 1903)
216267	Phthorimaea operculella	(Zeller, 1873)
216069	Biston regalis	(Moore, 1888)
216189	Lambdina fiscellaria	Guenée, 1857
216241	Nepytia phantasmaria	(Strecker, 1899)
216289	Pseudocoremia suavis	Butler, 1879
216255	Parectopa robiniella	Clemens, 1863
216268	Phyllonorycter issikii	(Kumata, 1963)
216269	Phyllonorycter leucographella	(Zeller, 1850)
216270	Phyllonorycter platani	Staudinger, 1870
216271	Phyllonorycter robiniella	(Clemens, 1859)
216184	Korscheltellus gracilis	(Grote, [1865])
216111	Dendrolimus superans	(Butler, 1877)
216202	Malacosoma disstria	Hübner, 1820
216073	Cacyreus marshalli	Butler, 1897
216333	Teia anartoides	Walker, 1855
216347	Thaumetopoea pityocampa	(Denis & Schiffermüller, 1775)
216348	Thaumetopoea processionea	(Linnaeus, 1758)
216070	Borkhausenia nefrax	Hodges, 1974
216131	Esperia sulphurella	(Fabricius, 1775)
216373	Thyridopteryx ephemeraeformis	(Haworth, 1803)
131378	Cadra figulilella	(Gregson, 1871)
216114	Dioryctria amatella	(Hulst, 1887)
216119	Elasmopalpus lignosellus	(Zeller, 1848)
131383	Paralipsa gularis	(Zeller, 1877)
216053	Antheraea yamamai	Guérin-Méneville, 1861
216309	Samia cynthia	(Drury, 1773)
216244	Opogona sacchari	(Bojer, 1856)
216087	Choristoneura fumiferana	(Clemens, 1865)
216097	Ctenopseustis obliquana	(Walker, 1863)
216127	Epiphyas postvittana	(Walker, 1863)
216640	Grapholita lobarzewskii	(Nowicki, 1860)
216148	Grapholita molesta	(Busck, 1916)
145900	Swammerdamia pyrella	(Villers, 1789)
216205	Mantis religiosa	(Linnaeus, 1758)
216065	Barbitistes constrictus	Brunner von Wattenwyl, 1878
130714	Ectopsocus meridionalis	Ribaga, 1904
141936	Laemobothrion chloropodis	(Schrank, 1803)
142259	Laemobothrion maximum	(Scopoli, 1763)
142314	Laemobothrion nocturnum	Giebel, 1874
142481	Felicola spenceri	Hopkins, 1960
126725	Nosopsyllus fasciatus	(Bosc, 1800)
126751	Leptopsylla segnis	(Schönherr, 1811 )
126345	Anaphothrips obscurus	(Müller)
126347	Apterothrips secticornis	(Trybom)
216154	Heliothrips haemorrhoidalis	(Bouché, 1833)
216165	Hercinothrips femoralis	(Reuter, 1891)
216193	Limothrips angulicornis	Jablonowski, 1894
216260	Parthenothrips dracaenae	(Heeger, 1854)
216371	Thrips simplex	Morison, 1930
126464	Thrips tabaci	Lindeman
216039	Achatina fulica	(Bowdich 1822)
216258	Paropeas achatinaceum	(L. Pfeiffer, 1846)
216305	Rumina decollata	(Linnaeus, 1758)
216306	Rumina saharica	(Pallary, 1901)
216328	Subulina octona	(Bruguière, 1789)
216075	Camaena cicatricosa	(O.F. Müller, 1774)
216138	Euhadra amaliae	(Kobelt, 1875)
216050	Anguispira alternata	(Say, 1816)
216051	Anguispira strongylodes	(Pfeiffer, 1854)
216635	Cernuella virgata	(Da Costa, 1778)
216639	Cochlicella barbara	(Linnaeus, 1758)
216077	Cantareus apertus	(Born, 1778)
216079	Caucasotachea calligera	(Dubois de Montpéreux, 1840)
216080	Caucasotachea vindobonensis	(C. Pfeiffer, 1828)
216155	Helix albescens	Rossmässler, 1839
216156	Helix lucorum	Linnaeus, 1758
216157	Helix lutescens	Linnaeus, 1758
216158	Helix melanostoma	Draparnaud, 1801
216159	Helix philibinensis	Rossmässler, 1839
216160	Helix secernenda	Rossmässler, 1837
216197	Loxana vondeli	(Pallary, 1928)
216646	Massylaea vermiculata	(O.F.Müller, 1774)
216248	Otala lactea	(Müller, 1774)
216249	Otala punctata	(Müller, 1774)
216367	Theba pisana	(Müller, 1774)
216375	Tingitana shioum	(Pallary 1910)
216642	Hygromia cinctella	(Draparnaud, 1801)
216192	Leptaxis undata	(Lowe, 1831)
216223	Monacha cantiana	(Montagu, 1803)
